.NombreProg LoopTest
Instruccion Ejecutada: 4100000 | MAR: 300 | AC: 0
Instruccion Ejecutada: 25000000 | MAR: 301 | AC: 0
Instruccion Ejecutada: 4100003 | MAR: 302 | AC: 3
Instruccion Ejecutada: 1100001 | MAR: 303 | AC: 2
Instruccion Ejecutada: 10000003 | MAR: 304 | AC: 2
Instruccion Ejecutada: 1100001 | MAR: 303 | AC: 1
Instruccion Ejecutada: 10000003 | MAR: 304 | AC: 1
Instruccion Ejecutada: 1100001 | MAR: 303 | AC: 0
Instruccion Ejecutada: 10000003 | MAR: 304 | AC: 0
Instruccion Ejecutada: 99000000 | MAR: 305 | AC: 0
Programa terminado en 10...

